seed,latent_code_hex,canonical_smiles,smiles,qed,sa,logp,ro5,representative_energy,energies,official_final_score,official_property_contribution
123,1a816d5f323e981840f01fefad062a0b,CC1=C2C(=O)C=CC=CC2CC1CC(=O)C1C2CC2CCCC2C(C)CC21,CC1=C2C(=O)C=CC=CC2CC1CC(=O)C1C2CC2CCCC2C(C)CC21,0.6806549479305417,5.029958247635127,5.301700000000006,True,-2.7701621700000003,-2.7701621700000003,,0.5854003739500269
123,1a816d5f323e981840b01fefad062a0b,CCc1ccccc1C=CC(=O)CC(=O)C1CC2CC(CC2C)CC2CC21,CCc1ccccc1C=CC(=O)CC(=O)C1CC2CC(CC2C)CC2CC21,0.4933078395362797,4.947519910390682,5.498900000000005,True,-2.76216168,-2.76216168,,0.5080980579511777
123,1a816d5f323e981840f01fefad862a0b,CC1=C2C(=O)C=CC=CC1C2CCC(=O)C1C2CC2CCCC2C(C)CC21,CC1=C2C(=O)C=CC=CC1C2CCC(=O)C1C2CC2CCCC2C(C)CC21,0.6780148936092775,5.607341723201015,5.301700000000006,True,-2.75513715,-2.75513715,,0.5837151685393541
123,1a816d5f323e981840f01fefadc62a0b,CC1=CC(=O)C=CC=CC1CCCCCCCC(=O)C1CCCCC2(C1)CC2C,CC1=CC(=O)C=CC=CC1CCCCCCCC(=O)C1CCCCC2(C1)CC2C,0.3877346604328654,4.677108073491207,7.150300000000008,True,-2.7549008999999995,-2.7549008999999995,,0.4146658281493198
123,1a816d5f323e981840f01feead062a0b,CC1CC2C1CCCC1CC1C2C(=O)CC1CC2CCCCC(=O)C2C1C,CC1CC2C1CCCC1CC1C2C(=O)CC1CC2CCCCC(=O)C2C1C,0.6397445463804677,4.868344205223934,5.685500000000006,True,-2.75272352,-2.75272352,,0.5703719831940642
123,1a816d5f323e981840d01fefad062a0b,CC1C=C1CCCC1CC1C(C)C(=O)CCC1CC(=O)c2ccccc2C1,CC1C=C1CCCC1CC1C(C)C(=O)CCC1CC(=O)c2ccccc2C1,0.5189785900504567,4.279864737672864,5.799600000000006,True,-2.75206591,-2.75206591,,0.4735584208462249
123,1a816d5f322e981840f01fefad062a0b,CCC1(C(=O)CC2CC3C=CC=CC(=O)C3=C2C)C2CC2CCCC2CC21,CCC1(C(=O)CC2CC3C=CC=CC(=O)C3=C2C)C2CC2CCCC2CC21,0.6649216438318307,4.998573797462159,5.4458000000000055,True,-2.75132943,-2.75132943,,0.5897113356738546
123,1a816d5f323a981840f01fefad062a0b,CCCC=C1C(=O)C=CC=CC1CCCC(=O)C1CC2(CCCC3CC31)CC2C,CCCC=C1C(=O)C=CC=CC1CCCC(=O)C1CC2(CCCC3CC31)CC2C,0.4549127330475899,5.286176723267078,6.616100000000007,True,-2.74765336,-2.74765336,,0.4479771374827936
123,1a816ddf323e981840b01feea9c62a0f,CC1CC2CCC(C(=O)CC3CCCC(C(=O)CCC4CC4)C3C)CC1C2,CC1CC2CCC(C(=O)CC3CCCC(C(=O)CCC4CC4)C3C)CC1C2,0.5314165251667566,5.16272209408648,6.219700000000008,True,-2.74729363,-2.74729363,,0.4793717204273477
123,1a816d5f323e981840d01fefadc62a0b,CC(C(=O)CCC1Cc2ccccc2C1=O)C1CC1CCCC1(C)CCCC1,CC(C(=O)CCC1Cc2ccccc2C1=O)C1CC1CCCC1(C)CCCC1,0.4955963793922691,4.122124281435612,6.413700000000008,True,-2.74669186,-2.74669186,,0.4622619443364778
123,1a816d5f323e981840b01feead062a0b,CCCC(=O)CCCC(=O)CC(=O)C1CC2(CCCC3CC31)CC2C,CCCC(=O)CCCC(=O)CC(=O)C1CC2(CCCC3CC31)CC2C,0.5575659439477566,4.72817443304526,4.906700000000005,True,-2.74588707,-2.74588707,,0.5215035811808546
123,1a816d5f323e981840d01fefad862a0b,CC1CC2C1CCCC1CC1C2C(=O)CCC1Cc2ccccc2C1=O,CC1CC2C1CCCC1CC1C2C(=O)CCC1Cc2ccccc2C1=O,0.7569435314742516,4.293018086837121,5.099300000000006,True,-2.745711769999999,-2.745711769999999,,0.6365449636008678
123,1a816d5f323e981840b01fefad862a0b,CCCC(=O)C=CCC(=O)CCCCCC(=O)C1CCC2CC(C)C(C2)C1,CCCC(=O)C=CCC(=O)CCCCCC(=O)C1CCC2CC(C)C(C2)C1,0.3177545760867373,4.709438757777466,5.853000000000007,True,-2.74498224,-2.74498224,,0.4332086443843624
123,1a816d5f323e9818c0f01fefad062a0b,Cc1ccc2c(c1)C(C)C(CC(=O)C1C3CC3CCCC3C(C)CC31)CC2,Cc1ccc2c(c1)C(C)C(CC(=O)C1C3CC3CCCC3C(C)CC31)CC2,0.6123737273408617,4.514390415467296,6.328520000000007,True,-2.74415021,-2.74415021,,0.5470010550297638
123,1a816d5f323e981840d01feead062a0b,CC1C=C1CCCC1CC1C(C)C(=O)CCC1CC2CCCCC(=O)C2C1,CC1C=C1CCCC1CC1C(C)C(=O)CCC1CC2CCCCC(=O)C2C1,0.4568141153687429,4.724645903341036,6.139800000000006,True,-2.74386126,-2.74386126,,0.4436842987174275
123,1a816d5f322e981840b01fefad062a0b,CCc1ccccc1C=CC(=O)CC(=O)C1(CC)CC2CC(C2)CC2CC21,CCc1ccccc1C=CC(=O)CC(=O)C1(CC)CC2CC(C2)CC2CC21,0.4631157461131201,4.663980359199511,5.643000000000006,True,-2.74350487,-2.74350487,,0.478070054036033
123,1a816d5f323e981840f01fefad06aa0b,CC(=O)C=CC=CCCC1CC(=O)C23C(CCCCC4C(C)CC42)CC13,CC(=O)C=CC=CCCC1CC(=O)C23C(CCCCC4C(C)CC42)CC13,0.4806415888053288,5.3061126671119885,5.525700000000006,True,-2.743369419999999,-2.743369419999999,,0.5227398202152339
123,1a816ddf323e981840f01fefad062a0b,CC=C1C(=O)C=CC=CC1CCCC(=O)C1C2CC2CCCC2C(C)CC21,CC=C1C(=O)C=CC=CC1CCCC(=O)C1C2CC2CCCC2C(C)CC21,0.5856018925228186,4.856380629141553,5.691800000000006,True,-2.743216700000001,-2.743216700000001,,0.5565606588181704
123,1a816ddf323e981840b01feea9062a0f,CC1CCCC(CC(=O)C2CCC3CC(C)C(C3)C2)CC2CC2CCC1=O,CC1CCCC(CC(=O)C2CCC3CC(C)C(C3)C2)CC2CC2CCC1=O,0.5891125453471274,5.542284754160333,6.219700000000007,True,-2.74235471,-2.74235471,,0.537564391844933
123,1a816d5f323e981840901fefad062a0b,CC1C=C1CCCC1CC1C(C)C(=O)C1CCC(O)=CC=CCC1=O,CC1C=C1CCCC1CC1C(C)C(=O)C1CCC(O)=CC=CCC1=O,0.526394650084185,5.357931623680711,4.941400000000004,True,-2.74151502,-2.74151502,,0.5303291730895913
123,1a816d5f323e981840e01fefad062a0b,CC1=C2C(=O)C=CC=C2CCC1CC(=O)C1C2CC2CCCC2C(C)CC21,CC1=C2C(=O)C=CC=C2CCC1CC(=O)C1C2CC2CCCC2C(C)CC21,0.6675107156584917,4.85715205771298,5.4458000000000055,True,-2.7406987,-2.7406987,,0.5826635410946504
123,1a856d5f323e981840f01fefadc62a0b,CC(=O)C=CC=CCCCCCCCCC(=O)C1CCCCC2C(C)CC12,CC(=O)C=CC=CCCCCCCCCC(=O)C1CCCCC2C(C)CC12,0.2133876067309143,3.9592804333762057,6.840100000000008,True,-2.740503250000001,-2.740503250000001,,0.385594709123039
